City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Banda Aceh,ID,78.69,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
4,Half Moon Bay,US,88.57,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
7,Hamilton,US,83.25,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
8,Camocim,BR,77.76,clear sky,-2.9022,-40.8411,Ilha Praia Hotel
12,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
17,Jamestown,US,76.01,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
21,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
25,Faanui,PF,78.49,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
27,Ternate,ID,79.65,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
30,Kilindoni,TZ,75.4,few clouds,-7.9139,39.6668,Bustani B&B
31,Hilo,US,89.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
32,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
35,Mandalay,MM,80.78,overcast clouds,21.9747,96.0836,Hotel Yadanarbon
38,Guiratinga,BR,86.9,broken clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
43,Touros,BR,76.32,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
44,Vilhena,BR,86.22,clear sky,-12.7406,-60.1458,Hotel Mirage
47,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
52,Bethel,US,82.54,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
55,Kavieng,PG,83.97,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
57,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
61,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
63,Nisia Floresta,BR,79.18,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
74,Morant Bay,JM,85.62,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
75,Omboue,GA,75.33,broken clouds,-1.5746,9.2618,Hotel Olako
78,Beyneu,KZ,80.24,clear sky,45.3167,55.2,NUR
83,Butaritari,KI,81.99,clear sky,3.0707,172.7902,Isles Sunset Lodge
88,Urbana,US,84.11,clear sky,40.1106,-88.2073,Hilton Garden Inn Champaign/ Urbana
90,Pozo Colorado,PY,81.48,clear sky,-23.4923,-58.7972,Hospedaje La Norteña
91,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
92,Cabedelo,BR,75.87,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
