City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,46.06,scattered clouds,66,40,5.75,AR,2022-08-31 22:22:14
1,Saint-Francois,46.4154,3.9054,63.84,clear sky,82,0,2.3,FR,2022-08-31 22:22:14
2,Ambulu,-8.345,113.6058,72.61,overcast clouds,93,94,3.22,ID,2022-08-31 22:22:14
3,Banda Aceh,5.5577,95.3222,78.69,broken clouds,81,84,9.82,ID,2022-08-31 22:22:15
4,Half Moon Bay,37.4636,-122.4286,88.57,clear sky,60,0,19.57,US,2022-08-31 22:22:15
5,Tuktoyaktuk,69.4541,-133.0374,64.4,scattered clouds,59,40,8.05,CA,2022-08-31 22:22:15
6,Mataura,-46.1927,168.8643,57.47,broken clouds,71,59,2.82,NZ,2022-08-31 22:22:16
7,Hamilton,39.1834,-84.5333,83.25,scattered clouds,50,40,10.36,US,2022-08-31 22:18:59
8,Camocim,-2.9022,-40.8411,77.76,clear sky,75,2,12.95,BR,2022-08-31 22:22:16
9,Korla,41.7597,86.1469,70.86,clear sky,37,3,13.04,CN,2022-08-31 22:22:16
10,Albany,42.6001,-73.9662,77.41,few clouds,56,24,7.29,US,2022-08-31 22:18:07
11,Finnsnes,69.2296,17.9811,45.75,overcast clouds,88,87,2.68,NO,2022-08-31 22:22:17
12,Kapaa,22.0752,-159.319,84.18,clear sky,63,0,11.5,US,2022-08-31 22:22:17
13,Tigil,57.8,158.6667,57.9,clear sky,74,4,15.48,RU,2022-08-31 22:22:17
14,Clyde River,70.4692,-68.5914,39.43,overcast clouds,81,100,10.36,CA,2022-08-31 22:22:18
15,Ucluelet,48.9329,-125.5528,62.1,few clouds,87,11,1.99,CA,2022-08-31 22:20:46
16,Qaanaaq,77.484,-69.3632,33.12,clear sky,68,0,2.26,GL,2022-08-31 22:22:18
17,Jamestown,42.097,-79.2353,76.01,few clouds,44,20,18.41,US,2022-08-31 22:18:07
18,Barrow,71.2906,-156.7887,39.22,mist,93,100,18.41,US,2022-08-31 22:20:20
19,Bluff,-46.6,168.3333,57.79,overcast clouds,87,100,5.37,NZ,2022-08-31 22:22:19
20,Rikitea,-23.1203,-134.9692,73.15,clear sky,77,1,4.05,PF,2022-08-31 22:22:19
21,Puerto Ayora,-0.7393,-90.3518,76.96,overcast clouds,91,91,8.99,EC,2022-08-31 22:22:19
22,Saint-Philippe,-21.3585,55.7679,67.59,few clouds,78,16,3.62,RE,2022-08-31 22:22:19
23,Longyearbyen,78.2186,15.6401,35.44,broken clouds,87,75,9.22,SJ,2022-08-31 22:22:20
24,Kankan,10.3854,-9.3057,71.47,moderate rain,96,99,3.69,GN,2022-08-31 22:22:20
25,Faanui,-16.4833,-151.75,78.49,scattered clouds,61,36,19.57,PF,2022-08-31 22:22:20
26,Bredasdorp,-34.5322,20.0403,51.67,scattered clouds,73,43,6.53,ZA,2022-08-31 22:22:21
27,Ternate,0.8,127.4,79.65,scattered clouds,80,41,2.33,ID,2022-08-31 22:22:21
28,Carandai,-20.9536,-43.8064,53.64,clear sky,65,0,9.13,BR,2022-08-31 22:22:21
29,Ribeira Grande,38.5167,-28.7,72.93,broken clouds,81,82,7.92,PT,2022-08-31 22:22:22
30,Kilindoni,-7.9139,39.6668,75.4,few clouds,79,15,19.1,TZ,2022-08-31 22:22:22
31,Hilo,19.7297,-155.09,89.28,broken clouds,73,75,13.8,US,2022-08-31 22:22:22
32,Vaini,-21.2,-175.2,75.36,few clouds,83,20,11.5,TO,2022-08-31 22:22:23
33,Ust-Karsk,52.7011,118.8077,39.78,overcast clouds,59,90,4.45,RU,2022-08-31 22:22:23
34,Busselton,-33.65,115.3333,46.56,clear sky,82,0,9.75,AU,2022-08-31 22:22:23
35,Mandalay,21.9747,96.0836,80.78,overcast clouds,78,100,5.35,MM,2022-08-31 22:22:23
36,Ancud,-41.8697,-73.8203,47.23,overcast clouds,85,100,7.49,CL,2022-08-31 22:18:24
37,Haines Junction,60.7522,-137.5108,60.75,clear sky,44,8,9.22,CA,2022-08-31 22:22:24
38,Guiratinga,-16.3494,-53.7583,86.9,broken clouds,22,55,4.43,BR,2022-08-31 22:22:24
39,San Jose,37.3394,-121.895,95.92,clear sky,47,0,11.5,US,2022-08-31 22:21:31
40,Constitucion,-35.3333,-72.4167,53.49,overcast clouds,86,100,8.72,CL,2022-08-31 22:22:25
41,Derzhavinsk,51.1,66.3167,73.65,broken clouds,37,60,6.4,KZ,2022-08-31 22:22:25
42,Chuy,-33.6971,-53.4616,55.13,overcast clouds,90,85,8.05,UY,2022-08-31 22:22:25
43,Touros,-5.1989,-35.4608,76.32,overcast clouds,72,86,20.33,BR,2022-08-31 22:23:26
44,Vilhena,-12.7406,-60.1458,86.22,clear sky,32,0,8.05,BR,2022-08-31 22:23:26
45,Belyy Yar,53.6039,91.3903,55.85,clear sky,76,0,0.0,RU,2022-08-31 22:23:26
46,Concordia,-31.393,-58.0209,66.78,clear sky,61,7,8.99,AR,2022-08-31 22:23:27
47,Puerto Escondido,15.85,-97.0667,86.83,scattered clouds,62,40,11.5,MX,2022-08-31 22:23:27
48,Souillac,-20.5167,57.5167,62.98,few clouds,88,20,4.61,MU,2022-08-31 22:23:27
49,Hattiesburg,31.3271,-89.2903,91.69,clear sky,65,0,6.91,US,2022-08-31 22:18:46
